  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
726603 04974 201303142112 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 ****** 30.11 1011.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142132 150   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 ****** 30.11 1011.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142152 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38   27 ****** 30.10 1011.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142212 140   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38   27 ****** 30.09 1010.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142232 180   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38   27 ****** 30.08 1010.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142252 140   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38   27 ****** 30.07 1010.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142312 170   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   27 ****** 30.07 1010.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142332 170   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 ****** 30.08 1010.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142352 160   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   27 ****** 30.08 1010.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150012 160   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   26 ****** 30.07 1010.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150032 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   26 ****** 30.08 1010.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150052 200   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   26 ****** 30.07 1010.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150112 210   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   26 ****** 30.07 1010.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150132 200   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   26 ****** 30.06 1009.9 *** *** ***** ***** ***** ***** ** 
